Portfolio
Account,Financial Instrument Description,Exchange,Position,Currency,Market Price,Market Value,Average Price,Unrealized P&L,Realized P&L,Liquidate Last,Security Type,Delta Dollars
All,AMZN   DEC2025 180 C [AMZN  251219C00180000 100],AMEX,-1,USD,53.0730629,-5307.31,50.521515,-255.15,0.00,No,OPT,-19854.89
All,AMZN   DEC2025 195 C [AMZN  251219C00195000 100],AMEX,-1,USD,40.8718643,-4087.19,37.992936,-287.89,0.00,No,OPT,-18200.45
All,AMZN   DEC2025 200 C [AMZN  251219C00200000 100],AMEX,-1,USD,37.0584907,-3705.85,32.462893,-459.56,0.00,No,OPT,-17524.95
All,AMZN   JAN2026 135 C [AMZN  260116C00135000 100],AMEX,-1,USD,95.0240173,-9502.40,96.13036,110.63,0.00,No,OPT,-21946.27
All,AMZN   JAN2026 145 C [AMZN  260116C00145000 100],AMEX,-1,USD,85.6513214,-8565.13,91.720483,606.92,0.00,No,OPT,-21693.88
All,AMZN   MAR2026 170 C [AMZN  260320C00170000 100],AMEX,-1,USD,65.384407,-6538.44,61.837675,-354.67,0.00,No,OPT,-20125.60
All,AMZN   JUN2026 180 C [AMZN  260618C00180000 100],AMEX,-1,USD,60.7783127,-6077.83,55.292893,-548.54,0.00,No,OPT,-18997.87
All,AMZN   DEC2027 215 C [AMZN  271217C00215000 100],AMEX,-1,USD,59.0687485,-5906.87,56.119368,-294.94,0.00,No,OPT,-16194.18
All,ARMK,NYSE,3500,USD,43.4860001,152212.44,38.9912221,15743.17,0.00,No,STK,30440.20
All,ARMK   JUL2025 38 C [ARMK  250718C00038000 100],AMEX,-1,USD,5.5246377,-552.46,2.209306,-331.53,0.00,No,OPT,-4284.09
All,ARMK   JUL2025 39 C [ARMK  250718C00039000 100],AMEX,-2,USD,4.5373712,-907.47,1.62311,-582.85,0.00,No,OPT,-8460.11
All,ARMK   JUL2025 40 C [ARMK  250718C00040000 100],AMEX,-7,USD,3.5241472,-2466.90,1.1370354,-1670.98,0.00,No,OPT,-12427.93
All,ARMK   JUL2025 41 C [ARMK  250718C00041000 100],AMEX,-5,USD,2.5855484,-1292.77,0.6293926,-978.08,0.00,No,OPT,-3999.14
All,ARMK   JUL2025 42 C [ARMK  250718C00042000 100],AMEX,-2,USD,1.6268917,-325.38,0.337393,-257.90,0.00,No,OPT,-3712.51
All,ARMK   JUL2025 43 C [ARMK  250718C00043000 100],AMEX,-1,USD,0.7769469,-77.69,0.277393,-49.96,0.00,No,OPT,-2933.20
All,ARMK   JUL2025 44 C [ARMK  250718C00044000 100],AMEX,-1,USD,0.25,-25.00,0.107393,-14.26,0.00,No,OPT,-1486.37
All,BLDR,NYSE,300,USD,133.2266998,39968.01,130.6433684,775.00,0.00,No,STK,39968.01
All,BLDR   JUL2025 135 C [BLDR  250718C00135000 100],AMEX,-1,USD,2.2956844,-229.57,0.907436,-138.82,0.00,No,OPT,-5667.93
All,BLDR   AUG2025 130 C [BLDR  250815C00130000 100],AMEX,-1,USD,10.2468023,-1024.68,4.609393,-563.74,0.00,No,OPT,-8035.05
All,BLDR   AUG2025 135 C [BLDR  250815C00135000 100],AMEX,-1,USD,7.711432,-771.14,3.397393,-431.40,0.00,No,OPT,-6767.36
All,CVM,AMEX,13,USD,3.9640002,51.53,185.2373539,-2356.55,0.00,No,STK,51.53
All,CVX,NYSE,100,USD,155.5309601,15553.10,150.59,494.10,0.00,No,STK,15553.10
All,CVX    JUL2025 150 C [CVX   250718C00150000 100],AMEX,-1,USD,6.1032595,-610.33,2.169393,-393.39,0.00,No,OPT,-13173.65
All,DOW,NYSE,200,USD,29.6040001,5920.80,28.965035,127.79,0.00,No,STK,5920.80
All,DOW    JUN2026 32.50 C [DOW   260618C00032500 100],AMEX,-1,USD,3.0587971,-305.88,3.639368,58.06,0.00,No,OPT,-1353.58
All,F,NYSE,1900,USD,11.8039999,22427.60,9.7653807,3873.38,0.00,No,STK,8262.80
All,F      JUL2025 10.50 C [F     250711C00010500 100],AMEX,0,USD,1.3072507,0.00,0.00,null,-102.48,No,OPT,0.00
All,F      JUL2025 11 C [F     250711C00011000 100],AMEX,-1,USD,0.8076721,-80.77,0.154236,-65.34,0.00,No,OPT,-1158.44
All,F      JUL2025 10 C [F     250718C00010000 100],AMEX,-1,USD,1.814628,-181.46,0.632893,-118.17,0.00,No,OPT,-1171.84
All,F      JUL2025 11 C [F     250718C00011000 100],AMEX,-1,USD,0.8385206,-83.85,0.214236,-62.43,0.00,No,OPT,-1079.25
All,F      JUL2025 11.50 C [F     250718C00011500 100],AMEX,-1,USD,0.37,-37.00,0.049436,-32.06,0.00,No,OPT,-909.97
All,F      JUL2025 10.50 C [F     250725C00010500 100],AMEX,-1,USD,1.3439484,-134.39,0.552193,-79.18,0.00,No,OPT,-1115.57
All,F      JUL2025 11 C [F     250725C00011000 100],AMEX,-4,USD,0.8715999,-348.64,0.2768365,-237.91,0.00,No,OPT,-1033.00
All,F      JUL2025 11.50 C [F     250725C00011500 100],AMEX,-1,USD,0.4483244,-44.83,0.084236,-36.41,0.00,No,OPT,-830.14
All,F      AUG2025 11.50 C [F     250808C00011500 100],AMEX,-1,USD,0.6354753,-63.55,0.239436,-39.60,0.00,No,OPT,-747.22
All,F      AUG2025 11 C [F     250815C00011000 100],AMEX,-1,USD,1.0239319,-102.39,0.455436,-56.85,0.00,No,OPT,-900.56
All,F      AUG2025 10.50 C [F     250822C00010500 100],AMEX,-1,USD,1.4392357,-143.40,1.4029356,-3.11,0.00,No,OPT,-1016.52
All,F      SEP2025 10.85 C [F     250919C00010850 100],AMEX,-1,USD,1.2229178,-122.29,0.649387,-57.35,0.00,No,OPT,-880.05
All,F      SEP2025 11.85 C [F     250919C00011850 100],AMEX,-1,USD,0.6074038,-60.74,0.429382,-17.80,0.00,No,OPT,-600.13
All,GEV,NYSE,300,USD,537.6668091,161395.63,376.0600387,48577.62,0.00,No,STK,53766.68
All,GEV    JAN2026 420 C [GEV   260116C00420000 100],AMEX,-1,USD,151.3415528,-15134.16,79.376893,-7196.47,0.00,No,OPT,-44124.28
All,GOOG,NASDAQ,300,USD,181.5859985,54480.69,158.908372,6808.18,0.00,No,STK,18158.60
All,GOOG   AUG2025 170 C [GOOG  250815C00170000 100],AMEX,-1,USD,15.2727184,-1527.27,9.852893,-541.98,0.00,No,OPT,-13748.53
All,IONQ,NYSE,300,USD,43.0522232,12915.67,25.035809,5404.92,0.00,No,STK,12915.67
All,IONQ   JUL2025 45 C [IONQ  250718C00045000 100],AMEX,-1,USD,1.0936819,-109.37,3.811993,271.83,0.00,No,OPT,-1581.39
All,IONQ   SEP2025 50 C [IONQ  250919C00050000 100],AMEX,-1,USD,4.3512502,-435.13,5.611993,126.07,0.00,No,OPT,-1869.47
All,KO,NYSE,100,USD,70.0960006,7009.60,62.395046,770.10,0.00,No,STK,7009.60
All,KO     DEC2026 62.50 C [KO    261218C00062500 100],AMEX,-1,USD,11.4911366,-1149.11,6.711833,-477.93,0.00,No,OPT,-5311.65
All,MRVL,NASDAQ,300,USD,72.3963012,21718.89,78.9367017,-1962.12,0.00,No,STK,21718.89
All,NRDE,PINK,60,USD,1.42,85.20,100.21,-5927.40,0.00,No,STK,28.40
All,ORCL,NYSE,200,USD,231.3620147,46286.82,63.7612555,33534.57,0.00,No,STK,23136.20
All,ORCL   JUL2025 212.50 C [ORCL  250718C00212500 100],AMEX,-1,USD,19.2566567,-1920.15,6.192893,-1300.86,0.00,No,OPT,-22148.25
All,ORCL   DEC2026 110 C [ORCL  261218C00110000 100],AMEX,-1,USD,130.0282288,-13002.82,56.501419,-7352.68,0.00,No,OPT,-22119.42
All,QUBT,NASDAQ,300,USD,18.1560002,5450.91,8.300279,2960.83,0.00,No,STK,3631.20
All,QUBT   JUL2025 17.50 C [QUBT  250711C00017500 100],AMEX,0,USD,0.6746249,0.00,0.00,null,129.64,No,OPT,0.00
All,QUBT   JUL2025 18.50 C [QUBT  250725C00018500 100],AMEX,-1,USD,1.0835138,-108.35,1.0269356,-5.66,0.00,No,OPT,-873.99
All,RXT,NASDAQ,400,USD,1.426,570.40,13.5175,-4836.60,0.00,No,STK,570.40
All,SLV,ARCA,1200,USD,34.906002,41875.20,16.1604442,22482.67,0.00,No,STK,41887.20
All,SLV    JUL2025 33.50 C [SLV   250711C00033500 100],AMEX,0,USD,0.5917279,0.00,0.00,null,0.00,No,OPT,0.00
All,SLV    JUL2025 34 C [SLV   250718C00034000 100],AMEX,-1,USD,1.1340724,-112.71,1.002193,-12.49,0.00,No,OPT,-2643.95
All,SLV    JUL2025 33.50 C [SLV   250725C00033500 100],AMEX,-1,USD,1.6959418,-168.88,0.714536,-97.43,0.00,No,OPT,-2741.90
All,SLV    JUL2025 34 C [SLV   250725C00034000 100],AMEX,-1,USD,1.3366468,-132.95,1.099393,-23.02,0.00,No,OPT,-2440.13
All,SLV    AUG2025 31 C [SLV   250801C00031000 100],AMEX,-1,USD,4.010827,-401.08,2.119393,-189.14,0.00,No,OPT,-3316.16
All,SLV    AUG2025 30 C [SLV   250815C00030000 100],AMEX,-1,USD,5.0385175,-503.85,2.212858,-282.57,0.00,No,OPT,-3326.46
All,SLV    SEP2025 30.50 C [SLV   250919C00030500 100],AMEX,-1,USD,4.8090915,-480.91,3.042893,-176.62,0.00,No,OPT,-3088.59
All,SLV    NOV2025 32.50 C [SLV   251121C00032500 100],AMEX,-1,USD,3.8948539,-389.49,3.182893,-71.20,0.00,No,OPT,-2480.12
All,SLV    DEC2025 30 C [SLV   251231C00030000 100],AMEX,-1,USD,5.9445191,-594.45,3.322827,-262.17,0.00,No,OPT,-2878.24
All,SLV    DEC2025 30.50 C [SLV   251231C00030500 100],AMEX,-1,USD,5.5898781,-556.33,4.712893,-85.04,0.00,No,OPT,-2800.13
All,SLV    JAN2026 29 C [SLV   260116C00029000 100],AMEX,-1,USD,6.822844,-682.28,3.639279,-318.36,0.00,No,OPT,-2994.54
All,SLV    JUN2026 34 C [SLV   260618C00034000 100],AMEX,-1,USD,4.8606191,-486.06,4.081993,-77.86,0.00,No,OPT,-2196.22
All,SLV    JUN2026 34.50 C [SLV   260618C00034500 100],AMEX,-1,USD,4.6275034,-462.75,3.622893,-100.46,0.00,No,OPT,-2128.82
All,TEM,NASDAQ,500,USD,57.7055931,28858.63,56.7570372,480.11,0.00,No,STK,11541.12
All,TEM    JUL2025 55 C [TEM   250718C00055000 100],AMEX,-1,USD,3.7411719,-374.12,12.819563,907.84,0.00,No,OPT,-4147.28
All,TEM    JUL2025 60 C [TEM   250718C00060000 100],AMEX,-1,USD,1.1754378,-119.98,11.459601,1025.98,0.00,No,OPT,-2024.83
All,TEM    AUG2025 75 C [TEM   250815C00075000 100],AMEX,0,USD,1.9147969,0.00,0.00,null,0.00,No,OPT,0.00
All,TSLA,NASDAQ,200,USD,310.3211975,62060.54,246.9925175,12662.03,0.00,No,STK,31032.12
All,VSAT,NASDAQ,400,USD,14.636097,5854.19,9.5702013,2026.11,0.00,No,STK,1463.61
All,VSAT   JUL2025 12 C [VSAT  250718C00012000 100],AMEX,-1,USD,2.693891,-269.39,0.576893,-211.70,0.00,No,OPT,-1382.77
All,VST,NYSE,100,USD,195.6052093,19569.07,194.040035,165.06,0.00,No,STK,19560.52
All,WMT,NYSE,100,USD,94.5961075,9459.61,98.910022,-431.39,0.00,No,STK,9459.61
All,WMT    JAN2026 95 P [WMT   260116P00095000 100],AMEX,-1,USD,6.0398007,-603.98,5.791936,-24.79,0.00,No,OPT,4272.38
All,XOM,NYSE,900,USD,115.5540008,103998.60,54.6738845,54792.10,0.00,No,STK,103998.60
All,XOM    JUL2025 109 C [XOM   250711C00109000 100],AMEX,0,USD,6.5654149,0.00,0.00,null,-369.51,No,OPT,0.00
All,XOM    JUL2025 110 C [XOM   250711C00110000 100],AMEX,0,USD,5.5675149,0.00,0.00,null,-612.52,No,OPT,0.00
All,XOM    JUL2025 111 C [XOM   250711C00111000 100],AMEX,0,USD,4.5752011,0.00,0.00,null,-223.83,No,OPT,0.00
All,XOM    JUL2025 120 C [XOM   250718C00120000 100],AMEX,-1,USD,0.132135,-13.21,5.012766,488.06,0.00,No,OPT,-1024.56
All,XOM    AUG2025 112 C [XOM   250801C00112000 100],AMEX,-1,USD,4.9436979,-494.37,4.2494356,-69.43,0.00,No,OPT,-8469.92
All,XOM    AUG2025 110 C [XOM   250808C00110000 100],AMEX,-1,USD,6.8331652,-683.32,6.2629356,-57.02,0.00,No,OPT,-9227.65
All,XOM    AUG2025 111 C [XOM   250808C00111000 100],AMEX,-2,USD,6.0413986,-1208.28,5.2829356,-151.69,0.00,No,OPT,-17577.43
All,XOM    NOV2025 115 C [XOM   251121C00115000 100],AMEX,-1,USD,6.6310973,-663.11,7.572893,94.18,0.00,No,OPT,-6461.52
All,XOM    DEC2025 120 C [XOM   251219C00120000 100],AMEX,-1,USD,4.826384,-482.64,7.292703,246.63,0.00,No,OPT,-5036.59

Cash Balances
USD,,51886,USD
USD,,51886,USD

